á,a
à,a
ä,a
aa,a
aaa,a
aaah,ah
aaahh,ah
aaay,ay
aaayy,ay
aahh,ah
aahya,ah ya
aaja,jaja
aajaj,jaja
aajajaja,jajaja
aaloo,aló
aaww,aw
aay,ay
aayy,ay
abal,aval
abonare,abonaré
abone,aboné
abrazoss,abrazos
abrenla,ábranla
abri,abrí
abria,abría
abrian,abrían
abrindo,abriendo
abrio,abrió
abrír,abrir
abrira,abrirá
abriran,abrirán
abriràn,abrirán
abrite,abrete
abumada,abrumada
aburranse,abúrranse
aburri,aburrí
aburrio,aburrió
acaa,acá
acaros,caros/ácaros
accesar,acceder
accesas,accedes
activiar,
adioos,adiós
adios,adiós
admin,administrador
administracion,administración
adveencia,advertencia
áereo,aéreo
aerías,aéreas
aerrss,haber
aers,haber
aersh,haber
aerss,haber
viestra,vuestra
vietnam,Vietnam
vih,VIH
vilaza,Vilaza
vilches,Vilches
vilcún,Vilcún
villanelo,Villanelo
villarica,Villarica
villarrica,Villarrica
vintages,Vintages
violacion,violación
viracura,Vitacura
virarme,desviarme
virarse,desviarse
virgenes,vírgenes
visitenos,visítenos
visitiarme,visitarme
visperas,vísperas
vivaa,viva
vivia,vivía
vivian,vivían
viviana,Viviana
vivio,vivió
vivitos,vivos
viza,visa
vloqueen,bloqueen
vnden,venden
volvera,volverá
volveran,volverán
volvere,volveré
volverian,volverían
volvi,volví
volvio,volvió
volvioo,volvió
vou,voy
vsitanos,visítanos
vuelvam,vuelvan
wabpay,Webpay
wajaj,jajaja
wajaja,jajaja
wajajaja,jajaja
waldo,Waldo
wallet,Wallet
walter,Walter
wanda,Wanda
wanderers,Wanderers
wasap,WhatsApp
wassap,WhatsApp
wat,what
watea,guatea
wateando,guateando
waton,guatón
watson,Watson
wazap,WhatsApp
webapay,Webpay
webay,Webpay
webbpay,Webpay
webpay,Webpay
webplay,Webpay
wedpay,Webpay
weena,buena
weenaa,buena
wena,buena
wenaa,buena
wenaaa,buena
wenos,buenos
wensite,website
weypay,Webpay
whasapear,wasapear
whastapp,WhatsApp
whats,what's
whatsap,WhatsApp
willy,Willy
Wilmer,Wilmer
wilson,Wilson
wom,Wom
wpp,WhatsApp
wsbi,WSBI
wsp,WhatsApp
wssp,WhatsApp
wtsp,WhatsApp
wtspp,WhatsApp
wuajaja,jajaja
wueenaa,buena
wut,what
xapuson,chapuzón
xato,aburrido
xbox,Xbox
xcadagiro,"por cada giro"
xcntacorriente,"por cuenta corriente"
xcorreo,"por correo"
xeqe,cheque
xeso,"por eso"
xfa,"por favor"
xfaa,"por favor"
xfabor,"por favor"
xfavoor,"por favor"
xfavor,"por favor"
xfin,"por fin"
xfiss,"por favor"
xgiro,"por giro"
xico,chico
xii,XII
xin,sin
xinternet,"por internet"
xiv,XIV
xix,XIX
xksi,"porque si"
xla,"por la"
xlm,"por lo mismo"
xqué,"por qué"
xra,"por favor"
xsus,"por sus"
xun,un
xv,XV
xvi,XVI
xx,XX
xxi,XXI
xxvii,XXVII
yá,ya
yamaron,llamaron
yame,"ya me"
ydsh,yes
yeah,yes
yeahh,yes
yeap,yes
yenos,llenos
yep,yes
yetita,yeta
yiaa,ya
yiiaa,ya
yisus,Jesús
yoo,yo
youtu,YouTube
yyaa,ya
zapolio,Sapolio
zarnozo,sarnoso
zii,si
zodiac,zodiaco
zorrones,
zulñiga,Zúñiga
zuniga,Zúñiga
zuñiga,Zúñiga
zúñiga,Zúñiga
zzii,
villar,Villar
vilos,Vilos
vox,Vox
wau,Wau
xi,XI
aaarreegleenloo,arreglenlo
aajajajajajaja,jajaja
aajajkjaajajaojajajaajaj,jajaja
abancoestado,a BancoEstado
vigliensoni,Vigliensoni
villalobos,Villalobos
villarreal,Villarreal
villarroel,Villarroel
visitandome,visitándome
waajajajajajajja,jajaja
waajajajajajjajaja,jajaja
wajajajaj,jajaja
wajajajaja,jajaja
wajajajajaja,jajaja
wajajjajajajaa,jajaja
wajakajajaajajaja,jajaja
wajjajajajajaja,jajaja
washington,Washington
watersystem,"water system"
webpaid,Webpay
webpaytd,Webpay
whajajaja,jajaja
whatsappear,wasapear
whattsap,WhatsApp
williamson,Williamson
willymunoz,"Willy Muñoz"
wuaajajajajaja,jajaja
wuaajajajajajajajaja,jajaja
wuajaajajajajaja,jajaja
wuajajaajajjaja,jajaja
wuajajaja,jajaja
wuajajajajajajajajajajajajajaja,jajaja
wuajajajajjaja,jajaja
wuajajajajjajakja,jajaja
wuajajajjaja,jajaja
wuajajajjajaja,jajaja
wuukajajakka,jajaja
xcuentacorriente,"por cuenta corriente"
zjksjzks,jajaja
zoofobico,zoofóbico
weno,buenos
q,que
m,me